Date,Open,High,Low,Close,Adj Close,Volume,Amount
2017-06-19,5.162499904632568,5.242499828338623,5.087500095367432,5.199999809265137,4.367292404174805,8533600,44145378.72686386
2017-06-20,5.179999828338623,5.195000171661377,5.117499828338623,5.159999847412109,4.3336968421936035,7184800,37096019.917583466
2017-06-21,5.164999961853027,5.237500190734863,5.072500228881836,5.114999771118164,4.295903205871582,8776800,45178578.33480835
2017-06-22,5.122499942779541,5.197500228881836,5.110000133514404,5.135000228881836,4.312700271606445,16845600,86607443.24913025
2017-06-23,5.117499828338623,5.164999961853027,5.065000057220459,5.162499904632568,4.33579683303833,6991200,35847377.56662369
2017-06-26,5.167500019073486,5.292500019073486,5.164999961853027,5.28249979019165,4.436580181121826,9228800,48237783.515930176
2017-06-27,5.267499923706055,5.375,5.260000228881836,5.34499979019165,4.489071369171143,6988800,37123631.900024414
2017-06-28,5.375,5.440000057220459,5.357500076293945,5.377500057220459,4.5163679122924805,12645600,68128170.6029892
2017-06-29,5.389999866485596,5.445000171661377,5.320000171661377,5.402500152587891,4.537364482879639,6932800,37363459.62810516
2017-06-30,5.4375,5.449999809265137,5.347499847412109,5.402500152587891,4.537364482879639,4604400,24906926.0304451
2017-07-03,5.442500114440918,5.5,5.389999866485596,5.400000095367432,4.535264492034912,5637600,30629785.607528687
2017-07-05,5.389999866485596,5.427499771118164,5.34499979019165,5.377500057220459,4.5163679122924805,10736800,57817666.617679596
2017-07-06,5.34250020980835,5.385000228881836,5.267499923706055,5.28000020980835,4.434481620788574,6033200,32089083.363056183
2017-07-07,5.287499904632568,5.320000171661377,5.215000152587891,5.227499961853027,4.390388011932373,7423600,39066695.35398483
2017-07-10,5.222499847412109,5.255000114440918,5.197500228881836,5.222499847412109,4.386188983917236,6586000,34407733.81280899
2017-07-11,5.239999771118164,5.267499923706055,5.202499866485596,5.239999771118164,4.4008870124816895,4670800,24463314.22047615
2017-07-12,5.287499904632568,5.315000057220459,5.244999885559082,5.247499942779541,4.407186031341553,4348000,22930264.771938324
2017-07-13,5.309999942779541,5.357500076293945,5.260000228881836,5.289999961853027,4.442879676818848,6997600,37117894.86703873
2017-07-14,5.3125,5.329999923706055,5.242499828338623,5.255000114440918,4.413484573364258,4919600,26000085.835790634
2017-07-17,5.257500171661377,5.394999980926514,5.244999885559082,5.320000171661377,4.468075752258301,6917200,36691423.11282158
2017-07-18,5.34499979019165,5.347499847412109,5.244999885559082,5.272500038146973,4.428182601928711,4412800,23398871.516036987
2017-07-19,5.287499904632568,5.367499828338623,5.264999866485596,5.337500095367432,4.482773303985596,3891600,20681421.453094482
2017-07-20,5.324999809265137,5.335000038146973,5.275000095367432,5.275000095367432,4.430281162261963,7422800,39359397.07078934
2017-07-21,5.284999847412109,5.295000076293945,5.179999828338623,5.195000171661377,4.36309289932251,14301600,74922506.72721863
2017-07-24,5.175000190734863,5.25,5.162499904632568,5.199999809265137,4.367292404174805,6337200,32933636.098909378
2017-07-25,5.247499942779541,5.34250020980835,5.235000133514404,5.315000057220459,4.463876724243164,8422000,44510270.72286606
2017-07-26,5.320000171661377,5.332499980926514,5.237500190734863,5.260000228881836,4.417684078216553,7079600,37433386.0127449
2017-07-27,5.272500038146973,5.440000057220459,5.257500171661377,5.425000190734863,4.5562615394592285,15353600,82122569.75708008
2017-07-28,5.409999847412109,5.432499885559082,5.349999904632568,5.375,4.514268398284912,4938800,26629391.802549362
2017-07-31,5.387499809265137,5.440000057220459,5.352499961853027,5.422500133514404,4.554161548614502,5477600,29582463.447761536
2017-08-01,5.422500133514404,5.422500133514404,5.284999847412109,5.340000152587891,4.484872817993164,12236400,65678877.81686783
2017-08-02,5.329999923706055,5.40500020980835,5.317500114440918,5.34499979019165,4.489071369171143,4464400,23881749.792575836
2017-08-03,5.329999923706055,5.454999923706055,5.329999923706055,5.414999961853027,4.547862529754639,4191600,22561286.72018051
2017-08-04,5.445000171661377,5.527500152587891,5.422500133514404,5.482500076293945,4.604553699493408,4544400,24855028.35674286
2017-08-07,5.485000133514404,5.565000057220459,5.457499980926514,5.542500019073486,4.654945373535156,5110400,28171080.24368286
2017-08-08,5.550000190734863,5.59250020980835,5.474999904632568,5.485000133514404,4.606653213500977,5690000,31440806.87403679
2017-08-09,5.4375,5.53000020980835,5.40500020980835,5.519999980926514,4.636048316955566,6014000,32915374.35221672
2017-08-10,5.477499961853027,5.477499961853027,5.364999771118164,5.367499828338623,4.507969379425049,6085200,32993193.02458763
